Gender	Age	Region	AN_1	AN_2	AN_3	AN_4	AN_5	AN_6	AN_7	AN_8	AC_1	AC_2	AC_3	AC_4	AC_5	AC_6*	AC_7	AC_8	AC_9*	AC_10	AC_11	RATE_WITCH	MR_1	MR_2	MR_3	MR_4	MR_5	MR_6	MR_7	MR_8	MR_9	MR_10	MR_11	MR_12	MR_13	SBS_1	SBS_2	SBS_3	SBS_4	SBS_5	SBS_6	AM_1	AM_2	AM_3	AM_4	AM_5	AM_6	AM_7	AM_8	AM_9	AM_10	AM_11	AM_12	AM_13	AM_14	AM_15	IRI_2:EC	IRI_3:PT*	IRI_4:EC*	IRI_8:PT	IRI_9:EC	IRI_11:PT	IRI_14:EC*	IRI_15:PT*	IRI_18:EC*	IRI_20:EC	IRI_21:PT	IRI_22:EC	IRI_25:PT	IRI_28:PT	REL	FNL1	FNL2	EDU	EXP_1	EXP_2	EXP_3	RHAB
男性	59	関東	4	4	4	4	2	4	3	3	5	4	3	4	4	5	5	4	3	4	3	A	3	2	3	3	3	3	3	3	4	3	3	4	3	0	-1	1	2	1	3	8	5	5	6	7	5	7	5	6	5	5	5	5	5	5	5	3	3	4	4	5	2	3	3	4	4	5	4	4	創価学会	その他	友人葬式	高等学校	4	4	2	0
男性	45	関東	5	3	4	5	3	3	3	3	7	4	4	4	3	4	4	4	4	3	3	A	5	1	5	4	4	5	5	3	5	5	3	5	5	0	0	0	0	0	0	1	5	5	1	4	10	1	5	3	10	5	10	5	5	10	4	4	4	4	4	4	4	4	4	5	4	4	4	4	なし	無宗教式		専門学校・高等専門学校（高専）・短期大学	6	6	1	1
女性	47	近畿（関西）	4	4	2	4	3	2	3	2	6	6	4	6	6	5	6	6	2	5	7	B	2	2	2	4	4	2	2	2	4	2	1	3	3	1	0	0	0	-1	1	8	1	1	7	5	2	5	7	2	7	8	1	6	7	1	4	5	5	4	5	3	5	4	3	6	3	5	5	3	仏教	仏教式		専門学校・高等専門学校（高専）・短期大学	5	6	1	5
男性	58	近畿（関西）	3	3	3	2	2	2	2	3	4	3	2	2	4	3	5	3	3	2	5	A	5	3	3	3	3	3	3	3	3	3	2	4	4	-4	1	0	0	1	1	1	10	2	0	2	6	1	1	0	2	2	2	2	0	2	3	5	4	5	4	3	4	2	4	3	5	4	4	4	なし	仏教式		大学・大学校	7	1	1	1
男性	31	関東	5	5	4	5	5	5	5	4	6	4	2	5	6	7	6	5	2	5	4	A	2	2	2	2	2	2	2	2	4	2	2	3	2	2	2	2	4	2	2	7	7	3	7	6	8	4	7	3	7	7	4	5	4	5	5	5	2	5	5	5	2	3	3	3	5	4	5	5	仏教	仏教式		大学・大学校	7	3	3	1
男性	37	近畿（関西）	3	3	4	3	3	4	3	4	5	4	4	5	3	5	4	4	4	4	5	B	5	3	2	3	2	1	2	2	3	2	1	2	3	2	1	1	2	1	1	3	9	7	4	6	10	3	7	3	9	7	6	9	6	9	6	3	4	4	5	5	2	2	2	4	4	3	2	4	わからない	仏教式		高等学校	5	5	1	0
男性	37	関東	5	5	5	5	5	5	5	5	6	6	4	4	4	4	4	4	4	4	4	B	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	2	2	0	4	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	7	5	4	5	6	5	5	5	4	5	5	5	5	5	なし	仏教式		高等学校	6	8	6	0
女性	36	関東	5	3	2	5	4	3	2	4	6	3	6	3	7	6	5	3	5	7	6	A	6	4	2	6	7	2	3	6	5	4	3	6	4	-3	-4	1	3	0	3	5	8	6	10	9	7	8	6	2	3	3	5	8	10	9	6	7	5	4	3	2	6	7	4	5	2	5	7	5	キリスト教徒	キリスト教式		その他	6	6	6	2
女性	23	関東	5	5	5	5	5	5	5	5	4	3	2	3	2	6	2	2	2	2	1	A	4	5	3	4	4	2	3	2	3	3	2	4	4	-3	1	3	2	0	4	9	7	4	3	5	9	2	3	5	8	6	6	6	4	7	2	5	4	4	4	5	5	4	4	6	5	5	5	4	なし	仏教式		大学院	5	6	1	0
男性	37	中部・北陸	3	2	2	1	1	1	1	1	6	2	4	1	4	6	1	2	7	1	2	A	2	1	1	1	2	1	1	1	4	1	1	4	4	-4	-4	-4	-4	-4	-4	0	10	0	0	0	8	0	0	0	10	0	10	7	0	10	4	5	3	4	4	5	4	3	4	2	6	2	4	6	なし	仏教式		大学・大学校	6	1	1	0
女性	38	関東	5	4	3	2	1	3	4	2	3	6	5	7	5	5	2	4	4	2	6	A	6	5	6	7	4	2	6	7	4	3	6	2	7	-1	4	1	-3	-2	-1	8	7	7	10	5	4	6	7	8	8	10	3	1	3	8	7	3	6	1	3	5	6	4	2	7	2	3	5	6	仏教	仏教式		大学院	7	7	8	4
男性	54	中部・北陸	4	4	4	4	3	3	4	3	5	5	4	5	5	4	2	4	2	4	4	B	4	4	4	4	4	4	4	4	4	4	4	4	4	0	0	0	0	0	0	3	3	4	3	3	4	3	4	4	5	5	5	5	4	4	3	3	3	3	3	3	3	3	3	3	4	4	4	4	仏教	仏教式		大学・大学校	3	1	1	0
男性	28	関東	4	4	3	4	4	4	2	3	6	6	5	6	6	4	6	6	4	6	6	A	2	2	2	1	1	1	1	1	1	1	1	3	3	0	0	0	-2	-2	-1	7	5	5	5	6	5	7	8	5	6	8	5	3	7	5	5	5	5	5	5	5	3	4	3	5	5	6	3	5	仏教徒	仏教式		高等学校	6	5	4	2
女性	31	北海道・東北	5	5	3	5	3	5	5	3	7	6	3	4	5	7	5	3	5	4	2	A	2	1	1	1	1	1	1	1	2	1	1	3	3	0	0	0	3	-4	1	10	4	7	0	0	10	0	7	0	10	10	10	7	6	10	7	7	2	7	7	7	1	1	1	7	7	7	7	7	仏教	仏教式		大学・大学校	6	5	6	0
男性	31	関東	4	4	3	4	2	4	4	4	7	6	4	4	5	5	6	5	1	4	4	A	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	2	2	4	5	9	1	1	5	7	0	2	6	10	4	9	7	5	7	4	7	5	2	6	2	4	4	3	4	3	4	3	3	なし	仏教式		大学・大学校	1	1	1	0
女性	20	関東	2	4	3	2	4	5	5	4	2	3	7	1	2	6	3	2	1	2	2	A	3	1	1	1	1	1	1	1	1	1	1	1	1	-3	0	-4	-4	-3	-3	1	0	5	3	6	5	5	5	5	5	1	0	1	4	3	3	6	3	1	3	3	5	5	4	3	2	5	5	4	なし	無宗教式		大学・大学校	8	1	1	1
女性	21	近畿（関西）	5	5	5	5	5	5	5	4	6	7	7	7	7	7	6	7	7	7	6	A	2	1	1	1	1	1	1	1	1	1	1	1	1	4	3	2	4	4	4	0	10	7	1	7	10	0	0	6	10	2	7	3	0	8	7	6	1	5	7	7	1	1	1	7	7	7	7	7	なし	無宗教式		専門学校・高等専門学校（高専）・短期大学	1	1	1	1
男性	44	関東	4	4	4	3	2	4	3	2	7	7	4	4	6	4	5	5	3	4	2	A	2	2	2	2	2	2	1	2	1	1	1	2	2	-3	-3	-3	-3	-3	-3	0	2	0	0	1	7	0	0	0	7	0	1	1	0	3	2	6	7	3	5	2	6	6	6	5	4	2	1	2	なし	無宗教式		高等学校	5	1	1	0
女性	22	北海道・東北	3	4	4	3	1	5	2	3	5	3	1	1	3	4	3	4	5	3	3	A	3	2	2	2	1	1	2	1	2	1	1	4	3	-4	3	3	-1	-1	1	9	8	5	10	10	8	0	0	0	5	0	10	5	5	10	5	1	5	3	6	3	3	3	2	5	4	3	3	5	なし	仏教式		大学・大学校	8	5	1	0
女性	43	近畿（関西）	3	3	4	5	5	4	2	3	5	4	4	6	7	4	4	5	4	4	5	B	3	3	3	1	3	4	4	4	2	2	2	2	2	-3	-3	0	1	0	2	5	6	5	7	6	5	6	4	4	8	7	5	5	5	5	5	3	3	5	3	4	5	3	5	4	2	5	3	4	なし	神式（神道式）		大学院	1	1	4	1
女性	48	関東	5	5	5	5	5	1	1	1	4	4	1	4	7	4	4	4	4	4	4	A	1	1	1	1	1	1	1	1	1	1	1	4	1	0	4	0	4	4	4	5	5	5	5	5	5	0	5	5	5	5	5	10	5	10	4	7	4	4	4	4	4	4	4	4	7	7	4	4	なし	無宗教式		大学院	1	1	1	0
女性	25	中部・北陸	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	A	4	4	5	4	5	4	5	4	4	4	4	4	4	0	0	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	なし	仏教式		大学・大学校	5	5	5	5
女性	29	関東	4	5	3	3	2	3	2	3	4	4	3	3	2	4	3	3	3	3	4	B	3	3	2	1	3	1	2	1	3	2	2	1	2	-1	-2	-1	-1	-1	0	6	3	5	4	5	4	5	5	5	4	2	5	8	8	6	4	5	6	5	6	7	5	5	4	5	4	6	4	5	仏教	仏教式		大学・大学校	2	1	1	0
男性	32	関東	4	4	4	4	2	4	5	1	1	1	1	1	1	4	5	1	4	1	1	A	4	5	5	6	5	4	4	1	7	7	1	7	7	-4	-4	-4	-4	-4	-2	0	8	0	0	0	8	0	0	0	8	0	6	0	0	7	5	7	5	5	6	7	3	3	4	6	4	5	5	5	なし	仏教式		大学院	4	2	3	2
女性	46	北海道・東北	4	4	3	4	2	4	3	3	6	4	2	4	5	5	3	5	6	3	3	A	3	3	3	3	3	2	2	2	3	3	1	2	2	-1	-1	2	2	2	1	5	8	2	2	7	7	8	3	4	1	5	8	8	5	7	5	3	3	5	5	5	2	2	2	4	5	5	5	7	なし	仏教式		大学・大学校	5	1	1	2
女性	30	関東	4	4	4	4	4	4	4	4	4	3	3	1	4	4	3	3	7	1	1	A	1	2	1	4	4	4	2	1	1	1	1	1	1	2	2	2	0	2	2	3	7	6	2	2	9	1	6	2	9	7	7	7	6	6	2	7	5	4	4	3	4	5	4	5	4	1	2	3	なし	仏教式		大学・大学校	7	4	2	10
女性	59	九州・沖縄	4	4	4	4	2	4	4	4	5	5	5	5	5	5	5	5	5	5	5	A	3	3	3	3	3	3	3	2	2	2	2	2	2	0	0	0	2	2	2	6	6	6	5	4	5	5	6	4	6	6	6	6	6	6	4	4	5	4	4	4	4	4	4	5	5	5	5	5	仏教	仏教式		高等学校	4	4	1	8
女性	58	中部・北陸	4	4	2	4	1	2	2	2	4	4	1	4	5	6	5	4	2	4	4	A	3	4	3	4	3	4	4	3	3	3	2	3	3	1	1	0	-2	-1	0	5	6	6	6	7	4	4	3	5	6	5	4	3	2	4	5	5	4	4	5	5	5	4	5	5	5	5	5	5	仏教	仏教式		高等学校	5	1	1	4
女性	26	関東	4	4	3	3	3	5	4	3	7	7	4	5	6	6	6	5	4	4	4	A	3	3	3	3	3	3	3	3	4	3	3	3	4	1	1	1	0	0	2	4	5	4	4	5	7	4	5	4	7	5	6	6	5	6	3	5	4	4	4	4	3	3	3	6	5	5	4	4	なし	仏教式		中学校	4	2	1	1
女性	32	北海道・東北	5	5	5	5	1	1	1	1	1	1	1	1	4	4	7	1	1	1	1	A	7	7	7	7	7	7	7	7	7	7	1	7	7	-4	-4	4	4	4	4	0	0	0	0	6	0	0	6	0	5	7	6	10	5	5	1	7	7	1	1	1	7	7	7	4	4	1	1	1	神道	神式（神道式）		高等学校	1	1	1	0
女性	49	九州・沖縄	4	4	5	5	1	5	4	2	4	5	1	4	4	7	5	4	2	4	4	A	1	1	1	1	2	1	1	1	3	2	1	2	2	4	4	4	4	4	4	3	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	2	3	2	4	1	7	1	7	7	7	1	6	仏教	仏教式		高等学校	2	2	1	5
女性	45	関東	4	3	1	5	5	5	4	1	6	3	1	3	5	5	4	2	6	2	3	A	5	2	4	7	6	5	6	1	5	6	4	7	7	-4	1	-2	-1	-2	4	0	9	0	0	0	9	0	0	0	10	0	6	0	0	0	5	7	5	2	5	5	2	5	4	6	4	6	1	3	なし	仏教式		大学・大学校	8	1	1	2
男性	49	関東	4	3	2	2	2	3	2	1	6	4	3	3	3	5	3	3	4	4	2	A	4	2	2	3	3	2	4	3	5	3	2	5	4	1	1	1	0	0	2	3	3	1	3	7	7	2	3	2	7	5	6	4	3	7	5	6	4	2	2	3	5	4	5	4	3	5	2	3	なし	仏教式		高等学校	7	3	1	2
男性	48	中国・四国	4	4	4	4	3	4	4	4	2	2	4	2	4	4	4	3	4	2	4	A	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	1	7	5	6	6	6	6	5	6	5	6	6	6	6	5	6	4	4	4	5	5	4	4	4	4	4	5	4	5	4	神道	神式（神道式）		大学・大学校	6	1	1	2
女性	46	近畿（関西）	3	4	4	4	2	2	2	2	5	5	4	5	5	4	5	5	4	5	5	A	4	4	4	4	4	4	4	4	4	4	4	4	4	0	0	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	4	5	4	5	4	4	4	4	5	3	3	4	仏教	仏教式		専門学校・高等専門学校（高専）・短期大学	5	3	1	2
女性	43	中部・北陸	4	3	5	2	2	1	1	4	5	4	2	5	3	2	2	1	3	3	2	A	2	4	2	6	6	2	6	3	3	2	4	4	6	-1	-3	0	0	3	2	4	1	2	2	8	9	8	8	8	8	3	4	4	4	8	5	6	3	6	3	3	4	5	6	6	6	5	5	4	なし	仏教式		大学・大学校	5	2	2	0
男性	25	関東	3	4	4	4	2	2	3	3	6	6	4	5	5	5	4	4	3	4	5	A	5	5	4	5	5	3	4	3	3	3	2	4	5	0	0	1	1	1	1	3	7	6	3	4	6	2	6	4	7	5	5	6	4	7	3	6	5	3	4	3	5	4	5	5	4	3	3	3	なし	仏教式		高等学校	4	1	1	0
女性	44	北海道・東北	4	5	5	3	4	3	3	4	3	4	1	2	3	7	2	3	6	4	3	A	2	1	1	1	1	1	1	1	1	1	1	1	2	3	4	3	4	0	2	6	10	4	0	7	6	2	0	1	8	10	6	5	3	5	1	7	7	4	4	2	4	3	7	5	6	3	1	1	なし	仏教式		高等学校	4	4	1	3
女性	42	関東	4	5	4	4	2	5	3	4	4	1	2	2	2	7	1	1	6	1	1	A	1	1	1	2	1	1	1	1	3	2	1	2	2	3	4	4	3	3	4	2	3	2	1	2	7	1	7	1	9	8	7	9	5	6	2	2	3	3	5	6	2	5	4	6	5	6	5	4	浄土宗	仏教式		専門学校・高等専門学校（高専）・短期大学	6	4	1	5
男性	57	関東	3	2	2	3	1	2	2	1	4	1	1	1	1	1	1	1	6	1	1	A	4	3	2	4	2	3	2	2	3	3	2	3	3	-4	-4	-4	-4	-4	0	5	5	2	2	2	5	2	2	0	7	6	5	5	2	6	4	4	4	3	4	4	4	4	4	4	4	4	3	4	なし	仏教式		大学院	1	1	1	0
男性	45	近畿（関西）	4	4	4	4	4	4	3	3	6	4	3	4	4	4	6	5	3	3	3	A	4	4	3	4	4	2	3	2	2	2	2	3	4	-3	-3	-3	-3	-3	1	3	2	2	3	5	5	1	2	4	5	5	4	2	4	4	4	5	5	3	5	5	4	3	5	4	4	3	3	4	仏教	仏教式		高等学校	6	4	1	0
女性	43	関東	4	4	4	4	3	3	3	3	5	4	2	4	4	5	4	4	6	4	5	A	4	2	2	2	2	2	3	2	4	2	1	4	3	0	0	1	1	1	1	5	7	6	5	5	7	5	6	5	6	6	5	6	5	7	4	5	4	4	4	4	4	3	4	5	5	5	4	4	なし	仏教式		大学・大学校	5	2	1	6
女性	27	中国・四国	4	4	3	3	3	4	4	4	5	5	4	5	5	5	4	4	3	3	5	A	2	2	3	2	3	2	3	2	4	3	1	5	3	-3	1	1	1	0	1	5	8	6	4	7	9	4	2	2	10	9	10	9	4	10	5	5	3	5	6	4	3	3	3	5	3	4	5	5	なし	仏教式		大学・大学校	2	1	1	2
女性	37	近畿（関西）	3	3	2	3	1	2	2	2	2	3	1	2	2	5	2	2	2	2	2	A	4	2	2	3	3	3	2	3	5	3	2	3	3	0	0	1	0	0	0	4	4	5	2	3	5	2	5	2	5	5	5	5	5	5	4	5	5	3	3	4	5	5	4	3	4	3	3	3	なし	仏教式		大学・大学校	2	2	1	0
男性	53	北海道・東北	3	4	3	4	2	5	4	4	5	2	4	1	2	4	4	4	4	1	1	A	3	3	3	3	3	3	2	2	3	2	2	4	4	0	0	3	1	1	1	5	5	5	0	0	8	0	0	0	7	7	5	7	0	6	4	7	4	5	4	3	4	4	5	5	4	4	3	3	なし	仏教式		大学・大学校	5	1	2	0
男性	27	関東	5	4	4	5	4	5	5	5	6	5	3	2	6	7	2	2	1	5	6	A	3	2	1	1	2	4	1	2	1	1	1	3	1	-4	-2	3	3	2	4	7	10	9	6	7	10	8	10	9	10	9	10	10	9	9	6	2	5	2	6	6	2	2	2	7	6	7	6	6	神道	神式（神道式）		大学・大学校	5	3	1	10
女性	39	中部・北陸	4	5	4	2	2	2	2	2	4	3	1	1	2	4	4	2	4	1	2	A	3	3	3	3	3	3	4	3	3	3	2	4	4	0	0	0	0	0	1	4	7	5	3	5	7	4	5	4	7	4	5	6	5	6	3	5	5	5	4	4	5	5	5	4	5	1	3	3	なし	仏教式		大学・大学校	5	2	1	4
女性	30	近畿（関西）	5	5	3	4	4	5	5	4	1	2	2	1	2	7	2	1	3	1	1	A	1	1	1	1	1	1	1	2	2	1	1	2	2	4	4	4	4	4	4	0	10	10	0	6	10	1	0	5	8	6	6	5	1	8	7	7	1	6	6	7	1	2	1	5	7	5	4	6	仏教	仏教式		大学・大学校	5	2	2	10
男性	49	中国・四国	4	5	4	4	4	3	3	4	4	4	4	4	4	6	4	5	6	7	7	A	5	5	5	4	7	5	5	5	5	5	5	5	5	0	0	1	1	1	1	10	6	6	6	0	7	5	0	0	3	3	5	5	0	0	1	1	6	4	1	3	3	3	3	3	4	7	6	5	なし	無宗教式	特にありません	専門学校・高等専門学校（高専）・短期大学	7	1	1	0
男性	51	近畿（関西）	1	1	1	1	1	1	2	1	1	1	1	1	1	4	4	1	4	1	1	B	1	1	1	7	4	1	7	1	7	1	1	7	4	-4	-4	-4	-4	-4	4	0	5	5	0	0	5	0	0	0	5	0	5	5	0	5	1	7	4	4	1	2	6	7	5	3	1	1	1	2	なし	仏教式		大学・大学校	4	1	1	0
女性	49	関東	2	2	3	3	1	3	2	2	2	4	4	4	4	4	4	4	4	4	4	A	2	2	2	2	2	3	3	1	3	2	2	2	2	-4	0	0	0	0	2	5	7	5	5	6	8	5	7	5	9	5	9	5	5	8	3	6	3	5	4	3	3	5	3	2	5	3	4	4	なし	仏教式		専門学校・高等専門学校（高専）・短期大学	7	1	1	0
男性	29	九州・沖縄	2	2	1	4	1	4	1	1	7	6	5	1	5	6	4	3	1	2	1	A	6	5	4	7	7	7	7	1	7	7	1	7	7	-4	-4	-4	-4	-4	-4	0	10	0	0	0	10	0	0	0	10	0	2	1	0	6	1	5	5	3	2	5	6	3	5	6	5	1	4	6	なし	無宗教式		高等学校	6	2	1	0
男性	46	北海道・東北	4	2	2	3	3	3	4	2	3	3	3	1	3	1	3	4	2	3	5	B	2	3	6	3	2	3	3	4	4	3	4	3	4	3	-1	-4	-3	-3	2	2	9	10	0	1	1	2	1	1	9	3	3	0	2	3	3	4	5	5	4	3	3	4	5	5	4	4	3	2	なし	仏教式	なし	大学・大学校	3	3	4	3
