Gender	Age	AN_1	AN_2	AN_3	AN_4	AN_5	AN_6	AN_7	AN_8	AC_1	AC_2	AC_3	AC_4	AC_5	AC_6*	AC_7	AC_8	AC_9*	AC_10	AC_11	RATE_WITCH	MR_1	MR_2	MR_3	MR_4	MR_5	MR_6	MR_7	MR_8	MR_9	MR_10	MR_11	MR_12	MR_13	SBS_1	SBS_2	SBS_3	SBS_4	SBS_5	SBS_6	AM_1	AM_2	AM_3	AM_4	AM_5	AM_6	AM_7	AM_8	AM_9	AM_10	AM_11	AM_12	AM_13	AM_14	AM_15	IRI_2:EC	IRI_3:PT*	IRI_4:EC*	IRI_8:PT	IRI_9:EC	IRI_11:PT	IRI_14:EC*	IRI_15:PT*	IRI_18:EC*	IRI_20:EC	IRI_21:PT	IRI_22:EC	IRI_25:PT	IRI_28:PT	REL	EDU	EXP1	EXP2	EXP3	RHAB
Male	30	1	2	1	2	1	4	4	4	6	7	7	7	7	7	7	7	7	7	7	A	4	7	7	7	7	7	7	7	7	7	7	7	7	2	1	4	4	4	4	10	9	8	7	0	7	6	0	0	8	4	8	7	6	7	3	5	1	5	7	7	7	7	1	7	7	7	5	7	Islam	University / College / Undergraduate School (Bachelor Degree)	7	6	1	10
Male	30	4	3	3	4	2	3	4	3	6	7	5	6	7	5	5	6	6	7	6	A	3	4	4	3	4	2	3	4	2	3	4	4	3	-1	0	1	3	1	1	6	4	4	6	6	7	7	3	3	6	5	4	4	5	4	3	4	3	4	5	5	3	4	4	5	4	3	3	4	Islam 	Graduate University / Professional School (Master's Degree, Doctoral Degree)	6	2	1	7
Female	30	5	5	5	5	5	5	5	5	7	7	7	7	7	7	7	7	7	7	7	A	1	1	1	1	1	1	1	1	1	1	1	4	1	4	4	4	4	4	4	10	5	6	10	5	5	5	5	0	10	10	10	5	5	10	7	7	1	7	7	7	1	7	1	7	7	7	1	7	Catholic	University / College / Undergraduate School (Bachelor Degree)	4	4	1	1
Female	30	5	5	5	5	5	5	5	5	7	7	7	4	4	4	4	4	4	4	4	B	5	6	6	6	6	4	4	4	4	4	4	4	4	4	0	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	Muslim	University / College / Undergraduate School (Bachelor Degree)	4	4	1	10
Female	31	3	4	3	4	2	3	2	4	4	2	5	1	3	5	4	4	1	2	2	A	3	3	3	3	3	3	3	3	2	2	2	2	3	0	3	4	2	3	0	3	1	0	0	0	6	0	3	0	7	6	3	8	3	10	7	2	7	5	6	6	6	5	2	5	7	5	4	4	None 	Vocational School / Technical College / Communication College (Associate Degree)	2	3	1	2
Female	54	5	3	5	5	3	5	5	4	7	7	5	7	6	7	7	6	6	7	7	A	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	0	0	4	0	10	5	0	0	10	0	0	0	10	0	10	10	0	10	7	7	1	7	7	1	1	7	1	7	7	7	7	7	Christian	Vocational School / Technical College / Communication College (Associate Degree)	6	1	4	2
Female	48	1	1	1	4	4	4	4	4	7	1	1	1	1	7	1	1	4	1	1	A	7	7	7	7	7	7	7	1	7	1	1	7	7	4	4	4	4	4	4	0	10	0	0	0	5	0	0	0	8	0	1	0	0	4	7	4	6	5	7	5	1	4	7	7	7	5	5	5	Evangelical Christian 	Vocational School / Technical College / Communication College (Associate Degree)	2	2	1	10
Male	33	4	3	3	5	3	3	5	3	3	7	2	3	4	5	6	6	7	4	5	A	4	6	3	4	1	7	3	4	4	4	6	6	6	4	-2	1	3	1	2	6	9	9	9	9	8	8	9	5	9	10	6	3	6	7	4	7	4	7	6	4	4	7	7	4	4	7	3	6	California 	Graduate University / Professional School (Master's Degree, Doctoral Degree)	7	7	3	6
Male	30	5	5	5	5	5	5	5	5	7	7	7	7	7	7	7	7	7	7	7	B	7	7	7	7	7	7	7	7	7	7	7	7	7	4	4	4	4	4	4	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	7	7	7	7	7	7	7	7	7	7	7	7	7	7	United states	University / College / Undergraduate School (Bachelor Degree)	8	8	8	10
Male	40	3	3	3	3	4	4	3	4	6	7	5	7	6	6	7	6	6	7	7	A	6	5	4	4	4	5	5	5	4	5	7	6	6	3	2	3	3	3	2	8	8	8	8	8	7	9	7	8	7	8	8	8	8	7	7	6	6	6	5	5	5	5	5	5	5	5	5	5	Christian	Graduate University / Professional School (Master's Degree, Doctoral Degree)	2	1	1	6
Male	33	5	5	4	5	5	4	4	5	6	5	4	4	5	4	4	6	5	4	5	A	7	7	7	7	7	7	7	7	7	7	7	7	7	0	0	4	0	4	0	10	5	5	5	5	10	5	5	10	10	5	5	5	10	10	7	7	7	7	7	7	7	7	7	4	4	4	6	7	Catｽｾｽｽｽｳlico 	Graduate University / Professional School (Master's Degree, Doctoral Degree)	4	4	4	10
Male	31	4	4	4	4	2	5	5	4	6	2	6	6	2	7	2	2	7	6	6	B	6	2	6	7	2	6	7	2	7	2	7	6	6	2	4	-3	4	-3	3	9	2	2	9	2	2	10	10	9	2	1	9	2	9	9	6	2	6	2	6	7	2	2	6	6	2	6	2	6	Christ 	University / College / Undergraduate School (Bachelor Degree)	6	6	6	5
Male	35	5	4	5	4	5	4	5	5	7	5	6	7	6	7	6	7	7	6	7	A	7	6	5	1	5	5	7	3	5	7	7	7	5	4	2	4	-1	3	-1	10	7	8	10	6	10	10	7	6	10	9	9	10	10	9	7	1	2	5	7	7	2	7	7	6	2	7	1	1	Christianity	Graduate University / Professional School (Master's Degree, Doctoral Degree)	8	6	8	7
Male	35	4	3	4	4	4	4	4	4	6	7	7	6	6	6	7	7	7	7	6	B	6	6	6	6	6	6	5	5	5	6	7	6	5	3	4	3	4	2	3	9	9	8	8	8	8	7	9	9	9	9	9	8	7	9	5	6	7	5	5	6	5	7	5	6	6	6	6	6	Catholic	University / College / Undergraduate School (Bachelor Degree)	6	4	1	10
Male	30	5	5	5	5	5	5	5	5	7	7	7	7	7	7	7	7	7	7	7	A	7	7	7	7	7	7	7	7	7	7	7	7	7	4	4	4	4	4	4	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	7	7	7	7	7	7	7	7	7	7	7	7	7	7	Newyork	Vocational School / Technical College / Communication College (Associate Degree)	1	1	1	10
Female	25	5	5	5	5	4	5	5	5	6	1	1	1	1	7	1	1	6	1	1	A	4	4	1	1	1	1	1	1	1	1	1	1	1	4	4	0	4	2	4	5	10	7	0	0	10	0	7	0	10	9	10	7	7	10	7	1	1	7	7	7	1	6	1	7	7	7	7	7	muslim	University / College / Undergraduate School (Bachelor Degree)	5	2	1	10
Male	55	5	4	3	4	5	4	3	4	7	6	5	6	7	6	5	4	5	6	7	A	7	7	6	7	6	7	6	7	6	7	6	7	7	4	0	4	0	4	0	10	9	8	9	10	9	8	9	10	9	8	8	9	10	9	7	6	5	6	7	6	5	6	7	6	5	6	7	6	Catholic	Graduate University / Professional School (Master's Degree, Doctoral Degree)	8	8	7	3
Female	25	3	4	3	4	5	4	3	4	5	7	6	5	5	7	7	7	6	7	7	A	6	3	5	5	4	6	6	6	5	5	4	5	5	4	3	-1	4	2	3	6	9	8	9	6	3	7	7	5	9	6	6	5	8	5	7	4	1	7	6	6	1	1	1	7	7	6	7	7	Christian	University / College / Undergraduate School (Bachelor Degree)	5	1	1	10
Male	40	5	5	4	5	4	5	4	5	7	6	7	7	6	7	7	6	7	7	6	A	7	6	7	7	6	7	6	7	7	6	7	6	7	4	3	4	3	4	3	10	9	10	10	9	10	9	10	9	10	10	9	10	10	9	7	6	7	7	6	7	7	6	7	6	7	7	6	7	christian 	Graduate University / Professional School (Master's Degree, Doctoral Degree)	8	7	8	9
Male	33	2	3	4	2	2	2	3	3	2	4	4	3	3	4	5	5	4	3	5	B	2	3	5	4	5	2	3	4	4	3	3	2	2	0	0	-1	-2	1	-1	5	2	3	1	3	3	3	2	2	2	2	3	3	2	1	4	2	4	5	4	3	3	3	4	2	3	6	4	3	catholic	Graduate University / Professional School (Master's Degree, Doctoral Degree)	2	1	1	0
Male	25	5	5	5	5	5	5	5	5	7	7	7	7	7	7	7	7	7	7	7	A	7	7	7	6	7	7	7	7	7	7	7	1	1	4	4	4	4	4	4	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	7	7	7	7	7	7	7	7	7	7	7	7	7	7	Jewish 	Graduate University / Professional School (Master's Degree, Doctoral Degree)	1	1	1	3
Male	30	4	3	4	4	4	4	4	4	6	6	5	5	5	6	6	5	4	5	6	A	4	5	4	5	6	5	5	5	5	3	6	6	4	3	2	2	2	2	1	8	8	7	6	3	4	4	2	4	3	5	8	4	9	9	6	6	6	4	5	4	5	5	4	5	4	6	4	5	Christian	University / College / Undergraduate School (Bachelor Degree)	8	8	8	9
Male	40	5	4	4	4	2	2	2	3	2	5	4	5	5	6	4	6	6	5	5	A	5	4	5	4	3	4	4	4	4	4	3	4	4	0	0	2	0	0	0	5	5	5	5	7	5	5	5	5	6	5	5	5	5	5	4	5	4	5	4	5	4	4	3	3	3	3	5	4	Muslim	Graduate University / Professional School (Master's Degree, Doctoral Degree)	4	1	3	4
Male	37	4	5	3	4	5	4	3	4	5	5	5	6	7	6	5	5	5	5	4	B	1	3	1	1	2	2	1	1	2	2	2	1	1	4	2	-2	2	3	0	10	9	7	8	9	8	8	8	8	9	9	9	10	9	9	6	6	6	5	7	5	5	6	5	5	6	5	7	7	catholic	Graduate University / Professional School (Master's Degree, Doctoral Degree)	5	5	1	8
Male	25	3	3	4	5	5	5	4	5	6	6	3	5	5	3	6	7	1	7	3	A	3	2	2	1	1	2	1	1	4	2	1	3	1	4	4	4	4	4	4	8	5	0	0	6	10	10	9	10	10	10	5	8	3	10	7	2	1	2	7	7	1	7	1	7	7	7	6	6	Christianity	University / College / Undergraduate School (Bachelor Degree)	8	6	1	10
Male	40	5	3	4	5	4	4	5	5	7	5	7	6	3	5	4	7	7	7	7	A	5	4	6	7	5	4	2	4	2	7	6	7	7	2	4	3	-2	4	1	10	4	7	10	10	10	6	1	5	5	7	9	8	7	8	4	4	4	4	3	3	7	6	5	6	5	4	4	4	Christian	Graduate University / Professional School (Master's Degree, Doctoral Degree)	7	7	7	9
Male	30	2	3	2	3	2	3	2	2	7	7	6	5	6	1	5	4	4	6	6	A	5	3	4	2	4	4	3	3	4	3	4	3	2	-2	1	2	3	2	1	2	8	7	1	3	2	1	6	3	7	6	4	2	4	2	5	3	2	3	5	2	3	3	4	3	3	2	2	5	Islam	University / College / Undergraduate School (Bachelor Degree)	6	2	1	10
Female	45	5	5	5	4	5	5	5	5	7	7	7	7	7	7	7	7	7	7	7	A	7	7	7	7	7	7	7	7	7	7	7	7	7	4	4	4	4	4	4	10	0	1	1	1	1	1	1	1	4	1	2	2	1	2	7	7	7	7	7	7	7	7	7	7	7	7	7	7	Christian	University / College / Undergraduate School (Bachelor Degree)	2	1	1	10
Female	20	5	5	5	5	5	5	5	5	4	4	3	4	4	4	3	5	5	4	4	B	1	1	1	1	1	1	1	1	1	1	1	1	1	4	-4	4	4	4	4	9	8	10	5	5	6	0	10	0	10	5	5	3	8	10	1	1	1	1	1	1	1	1	1	2	7	7	7	7	Hispanic latino 	Graduate University / Professional School (Master's Degree, Doctoral Degree)	5	1	1	0
Male	35	4	4	4	4	4	5	4	5	6	6	7	5	6	7	7	6	6	6	5	A	6	5	6	6	7	4	5	6	5	2	2	6	4	4	3	3	3	3	1	9	10	6	4	0	5	1	10	3	8	9	8	3	8	6	6	6	2	3	6	4	5	5	5	6	6	4	5	4	Muslim	Graduate University / Professional School (Master's Degree, Doctoral Degree)	8	6	5	8
Male	45	5	5	5	4	4	2	2	5	6	6	7	7	7	7	6	6	6	7	7	A	1	7	7	1	2	6	1	7	7	1	7	1	7	4	4	2	-3	3	4	9	3	0	10	10	9	3	2	1	8	8	2	8	2	9	7	7	7	7	7	6	6	6	7	5	7	7	7	4	Christian	University / College / Undergraduate School (Bachelor Degree)	5	3	1	9
Male	40	4	4	4	5	4	5	5	4	7	7	7	7	7	7	7	7	5	7	6	A	5	2	2	1	3	1	1	1	1	2	1	3	3	4	3	4	3	4	4	7	9	5	0	0	2	0	0	1	8	9	9	4	9	8	7	4	1	4	7	7	1	4	1	6	7	3	6	6	Christian	University / College / Undergraduate School (Bachelor Degree)	4	6	5	10
Male	40	2	2	4	5	5	4	5	5	7	7	6	6	7	1	1	5	7	7	2	A	2	1	6	1	1	1	1	1	1	1	1	1	1	4	3	4	3	3	4	4	8	6	1	1	1	0	0	0	7	2	6	1	1	0	7	1	1	7	7	7	1	1	1	7	7	7	6	7	Christianity	Graduate University / Professional School (Master's Degree, Doctoral Degree)	7	1	1	9
Male	40	3	3	4	2	2	4	3	2	2	6	2	2	3	1	1	1	3	2	5	A	2	2	3	1	3	1	2	2	2	4	4	2	3	4	4	4	4	4	4	5	8	8	7	5	6	8	1	5	9	8	4	8	9	7	6	4	2	7	4	5	2	6	6	2	5	6	7	4	Islam	University / College / Undergraduate School (Bachelor Degree)	2	2	4	3
Male	42	4	4	3	5	2	5	5	2	7	4	6	7	7	7	7	2	3	5	1	A	1	2	3	1	3	1	1	2	2	1	1	1	1	4	4	4	4	4	4	2	9	6	0	5	7	0	8	5	7	7	7	7	6	8	7	2	2	6	7	6	2	7	1	7	7	5	5	6	Christian	Graduate University / Professional School (Master's Degree, Doctoral Degree)	5	3	1	10
Female	34	5	5	5	5	3	3	3	3	5	4	4	3	5	4	4	4	4	4	7	A	7	4	4	5	5	6	4	6	4	4	5	5	4	4	4	0	1	0	4	4	10	4	10	7	9	4	10	6	7	5	6	6	9	9	6	7	5	4	4	5	6	6	4	5	4	6	3	6	Muslim	Graduate University / Professional School (Master's Degree, Doctoral Degree)	8	6	5	1
Female	24	4	3	2	5	1	1	3	1	4	4	5	5	4	4	4	4	4	4	4	A	3	2	3	4	3	4	5	7	4	4	5	5	1	4	0	0	4	3	4	5	5	5	5	5	7	0	2	0	6	0	8	8	8	10	7	7	4	4	7	6	3	4	2	4	6	7	2	1	Christian 	Other	1	1	1	3
Female	36	4	3	4	4	4	4	4	4	6	6	5	6	6	6	5	6	5	6	5	A	5	4	5	4	4	5	4	3	4	4	3	5	4	3	3	3	3	2	3	8	7	9	6	6	8	4	9	6	8	8	8	9	9	9	6	4	5	5	6	5	2	5	3	6	6	6	6	6	Catholic	University / College / Undergraduate School (Bachelor Degree)	6	2	1	10
Male	30	4	4	4	4	4	4	4	4	6	6	6	6	6	6	6	6	6	6	6	A	6	6	6	6	6	6	6	6	6	6	6	6	6	3	3	3	3	3	3	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	6	6	6	6	6	6	6	6	6	6	6	6	6	6	Muslim 	Graduate University / Professional School (Master's Degree, Doctoral Degree)	3	3	3	10
Male	41	4	4	4	4	4	4	4	4	6	6	6	5	5	6	6	6	5	6	5	A	5	5	5	5	5	5	5	5	5	5	5	6	5	2	3	2	3	3	3	8	7	7	7	8	8	7	8	7	7	8	7	8	7	8	5	6	6	5	5	5	6	5	5	5	5	6	6	5	chisthan	Graduate University / Professional School (Master's Degree, Doctoral Degree)	6	6	6	6
Female	21	5	5	3	4	1	3	3	1	5	4	4	4	4	4	4	4	5	4	6	A	4	4	4	2	2	4	1	3	2	1	1	2	2	0	0	1	0	1	2	5	7	5	0	0	8	0	0	0	5	0	10	0	5	6	7	1	1	7	7	7	1	3	1	7	7	7	7	7	I Don驕ｯｽｶ陷ｽｲ Have One 	Other	1	1	1	3
Female	33	1	1	1	5	5	3	5	2	6	4	4	1	4	4	4	4	4	4	1	A	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	0	0	0	0	5	0	10	0	10	10	0	10	0	10	10	10	10	10	10	4	4	4	4	4	4	4	4	4	4	4	4	4	4	Im not sure 	Junior High School / Middle School	1	1	1	0
Male	26	5	5	5	5	5	5	5	5	7	7	7	7	7	7	7	7	7	7	7	A	7	7	7	7	7	7	7	7	7	7	7	7	7	4	4	4	4	4	4	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	7	7	7	7	7	7	7	7	7	7	7	7	7	7	Evangelic Christian	Other	8	8	8	10
Male	30	5	5	5	5	5	5	5	5	7	7	7	7	7	7	7	7	7	7	7	B	7	7	7	7	7	7	7	7	7	7	7	7	7	4	4	4	4	4	4	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	7	6	6	6	7	7	5	6	7	6	6	7	6	7	jwes	Graduate University / Professional School (Master's Degree, Doctoral Degree)	7	7	8	9
Male	37	4	4	4	4	4	3	4	4	6	5	5	5	6	5	4	5	6	6	6	B	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	9	10	9	10	9	10	9	10	9	10	9	10	10	10	9	7	5	6	6	4	5	5	6	4	5	5	5	4	5	Northwest	Graduate University / Professional School (Master's Degree, Doctoral Degree)	4	4	2	10
